Site,Region,Sex,SVL,HS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15
ENB,West,M,55.4,692.916215,0.024871,-0.006499,0.024951,0.017037,0.006956,0.012761,0.001178,-0.006109,-0.002063,0.003150,0.001139,0.001760,-0.002452,0.005622,0.004088
Miller,West,M,82,385.118460,-0.013212,0.051041,-0.008949,0.016374,-0.003914,-0.003774,-0.000462,-0.001246,0.002956,0.003507,-0.001112,0.000556,0.000990,-0.001065,-0.005892
ENB,West,M,95.1,1028.885435,0.026689,-0.002045,0.026445,0.016679,0.017995,0.001439,-0.007772,0.004364,-0.010990,0.001139,0.001581,-0.004224,-0.002285,-0.003077,0.005096
ENB,West,M,92.1,781.437690,-0.022529,-0.026959,0.027604,-0.026161,-0.005482,-0.012404,-0.008795,0.001533,0.003434,-0.007007,-0.000414,-0.004072,-0.005457,-0.005590,0.000251
ENB,West,M,76.1,837.565992,0.004921,-0.041734,-0.047934,0.001781,0.004726,-0.008580,0.000251,0.019184,0.002306,-0.000694,0.005826,0.002019,-0.002244,-0.000527,-0.003168
ENB,West,M,55.8,771.999143,0.027120,-0.009693,-0.007939,-0.000959,-0.010303,0.007409,0.000266,-0.010526,-0.001664,0.000433,-0.001532,0.002975,0.002575,-0.003197,0.004068
ENB,West,M,92.2,1010.301148,-0.059309,-0.020750,0.005931,-0.015170,-0.004240,-0.010634,-0.007898,-0.000045,-0.000042,0.005036,-0.009825,0.010967,-0.005558,0.001640,-0.007304
Miller,West,M,69,369.722883,-0.019761,-0.015376,-0.014373,0.005612,-0.004247,-0.009152,0.015841,-0.006092,-0.005048,-0.008029,0.014436,0.005248,-0.003800,-0.003060,0.001787
ENB,West,M,91,686.275155,-0.006508,-0.014912,0.045085,0.033188,-0.007287,-0.001528,0.001440,0.001363,0.000047,-0.005220,0.001897,-0.009251,-0.000938,-0.001688,-0.004230
Miller,West,M,82.1,396.765058,-0.011235,0.049747,-0.001646,0.019154,-0.007143,0.001142,0.007549,-0.016326,-0.005742,-0.007383,-0.005390,0.001993,0.001019,0.006592,-0.007349
SW,West,M,94.1,595.784915,-0.003524,0.001509,-0.008295,-0.023554,0.006223,0.005632,-0.002906,0.002331,-0.004174,-0.001692,-0.000789,0.004042,-0.004094,-0.000816,-0.002784
SW,West,M,92.4,615.486169,0.022038,-0.001336,-0.023856,-0.030787,0.022158,0.011173,0.007726,-0.008003,-0.003886,-0.001788,0.000917,0.001455,-0.001263,-0.003822,0.000325
SW,West,M,83.3,911.927899,0.030587,-0.029403,0.037059,0.017704,-0.005256,0.002535,0.001942,-0.004061,-0.012715,-0.007067,0.000310,0.000090,0.003199,0.000301,-0.004459
SW,West,M,82.3,622.754406,0.056893,0.020000,-0.014973,-0.011740,-0.004798,-0.010909,-0.007371,0.013909,0.002651,-0.002575,0.000747,0.005252,0.001819,-0.004751,-0.003501
SW,West,M,52.3,686.417865,-0.026080,-0.028634,-0.002648,0.030359,0.006719,0.000023,0.007986,0.000847,-0.005324,0.004999,0.008737,-0.002109,0.006121,0.001792,0.000563
SW,West,M,89.1,1040.188511,-0.015332,-0.010495,0.010500,-0.021505,0.000190,-0.000384,-0.002906,-0.000808,0.002196,0.005012,0.008640,0.006342,-0.001247,-0.002995,0.001047
ENB,West,M,81.2,729.092593,-0.015338,-0.005259,0.003756,-0.007877,0.002249,-0.001883,0.001985,-0.002293,0.005019,0.010327,0.002651,0.003899,0.005356,-0.001787,0.000967
ENB,West,M,100.1,710.057837,0.066546,-0.001492,0.017812,0.013450,0.003251,-0.009785,-0.003427,-0.003379,-0.004910,0.016915,-0.008234,-0.007612,-0.010794,-0.003368,-0.003399
ENB,West,M,81.4,585.924293,0.042230,-0.035003,0.021477,-0.033895,0.011670,0.004866,0.004656,0.003093,-0.007264,-0.006773,-0.000968,-0.007359,0.001168,0.005185,-0.004823
BREWERS,West,M,45.7,586.344052,-0.037495,-0.011098,0.000204,-0.002473,0.004708,0.007805,0.014170,-0.003912,0.019318,0.001440,0.000161,-0.012484,-0.002414,0.001414,0.000443
